Character,AnimationClip,StartFrame,FixationStartFrame,EndFrame,Target,AheadTargetPosition,HeadAlign,TorsoAlign,TurnBody
Norman,WaitForBusGaze1,17,50,50,,0 0 0,-1,-1,True
Norman,WaitForBusGaze2,51,73,88,,0 0 0,-1,-1,True
Norman,WaitForBusGaze3,92,120,120,,0 0 0,-1,-1,True
Norman,WaitForBusGaze4,121,155,155,,0 0 0,-1,-1,True
Norman,WaitForBusGaze5,156,199,199,,0 0 0,-1,-1,True
Norman,WaitForBusGaze6,200,220,220,,0 0 0,-1,-1,True
Norman,WaitForBusGaze7,221,241,256,,0 0 0,-1,-1,True
Norman,WaitForBusGaze8,258,287,302,,0 0 0,-1,-1,True
Norman,WaitForBusGaze9,317,350,350,,0 0 0,-1,-1,True
Norman,WaitForBusGaze10,351,367,382,,0 0 0,-1,-1,True
Norman,WaitForBusGaze11,382,408,418,,0 0 0,-1,-1,True
Norman,WaitForBusGaze12,419,445,445,,0 0 0,-1,-1,True
Norman,WaitForBusGaze13,446,474,489,,0 0 0,-1,-1,True
Norman,WaitForBusGaze14,506,523,523,,0 0 0,-1,-1,True
Norman,WaitForBusGaze15,524,544,544,,0 0 0,-1,-1,True
Norman,WaitForBusGaze16,545,564,564,,0 0 0,-1,-1,True
Norman,WaitForBusGaze17,565,597,597,,0 0 0,-1,-1,True
Norman,WaitForBusGaze18,598,629,629,,0 0 0,-1,-1,True
Norman,WaitForBusGaze19,630,653,653,,0 0 0,-1,-1,True
Norman,WaitForBusGaze20,654,685,685,,0 0 0,-1,-1,True
Norman,WaitForBusGaze21,686,716,716,,0 0 0,-1,-1,True
Norman,WaitForBusGaze22,717,751,766,,0 0 0,-1,-1,True
Norman,WaitForBusGaze23,771,799,799,,0 0 0,-1,-1,True
Norman,WaitForBusGaze24,800,827,842,,0 0 0,-1,-1,True
Norman,WaitForBusGaze25,860,884,894,,0 0 0,-1,-1,True
Norman,WaitForBusGaze26,895,919,919,,0 0 0,-1,-1,True
Norman,WaitForBusGaze27,920,941,941,,0 0 0,-1,-1,True
Norman,WaitForBusGaze28,942,963,963,,0 0 0,-1,-1,True
Norman,WaitForBusGaze29,964,989,993,,0 0 0,-1,-1,True
Norman,WaitForBusGaze30,994,1028,1028,,0 0 0,-1,-1,True
Norman,WaitForBusGaze31,1029,1049,1056,,0 0 0,-1,-1,True
Norman,WaitForBusGaze32,1057,1069,1069,,0 0 0,-1,-1,True
Norman,WaitForBusGaze33,1070,1114,1129,,0 0 0,-1,-1,True
Norman,WaitForBusGaze34,1146,1180,1180,,0 0 0,-1,-1,True
Norman,WaitForBusGaze35,1181,1227,1227,,0 0 0,-1,-1,True
Norman,WaitForBusGaze36,1228,1265,1273,,0 0 0,-1,-1,True
Norman,WaitForBusGaze37,1274,1289,1289,,0 0 0,-1,-1,True
Norman,WaitForBusGaze38,1290,1342,1342,,0 0 0,-1,-1,True
Norman,WaitForBusGaze39,1343,1364,1364,,0 0 0,-1,-1,True
Norman,WaitForBusGaze40,1365,1407,1407,,0 0 0,-1,-1,True
Norman,WaitForBusGaze41,1408,1426,1426,,0 0 0,-1,-1,True
Norman,WaitForBusGaze42,1427,1442,1457,,0 0 0,-1,-1,True
Norman,WaitForBusGaze43,1496,1536,1551,,0 0 0,-1,-1,True
